FirstName Surname Final
Vardas1138 Pavarde1138 8.09333
Vardas1140 Pavarde1140 8
Vardas1141 Pavarde1141 7.06667
Vardas1142 Pavarde1142 5.50667
Vardas1143 Pavarde1143 6.61333
Vardas1144 Pavarde1144 7.04
Vardas1145 Pavarde1145 7.74667
Vardas1147 Pavarde1147 6.69333
Vardas1148 Pavarde1148 8.02667
Vardas115 Pavarde115 6.86667
Vardas1151 Pavarde1151 7.44
Vardas1153 Pavarde1153 6.46667
Vardas1155 Pavarde1155 5.21333
Vardas1156 Pavarde1156 7.56
Vardas1158 Pavarde1158 5.89333
Vardas116 Pavarde116 8
Vardas1162 Pavarde1162 7.81333
Vardas1163 Pavarde1163 8.58667
Vardas1166 Pavarde1166 5.86667
Vardas1168 Pavarde1168 6.4
Vardas1169 Pavarde1169 6.04
Vardas117 Pavarde117 5.69333
Vardas1172 Pavarde1172 8.08
Vardas1173 Pavarde1173 5.09333
Vardas1174 Pavarde1174 7.45333
Vardas1175 Pavarde1175 5.16
Vardas1177 Pavarde1177 6.13333
Vardas1178 Pavarde1178 6.30667
Vardas118 Pavarde118 7.36
Vardas1180 Pavarde1180 5.65333
Vardas1182 Pavarde1182 6.66667
Vardas1185 Pavarde1185 5.32
Vardas1186 Pavarde1186 5.89333
Vardas1187 Pavarde1187 5.10667
Vardas1188 Pavarde1188 6.4
Vardas1189 Pavarde1189 8.4
Vardas1190 Pavarde1190 6.28
Vardas1191 Pavarde1191 7.48
Vardas1192 Pavarde1192 7.98667
Vardas1199 Pavarde1199 6.68
Vardas12 Pavarde12 8.24
Vardas120 Pavarde120 6.04
Vardas1200 Pavarde1200 6.38667
Vardas1202 Pavarde1202 6.25333
Vardas1207 Pavarde1207 5.26667
Vardas1208 Pavarde1208 7.66667
Vardas1210 Pavarde1210 7.77333
Vardas1211 Pavarde1211 5.22667
Vardas1212 Pavarde1212 5.44
Vardas1218 Pavarde1218 7.14667
Vardas122 Pavarde122 7.66667
Vardas1222 Pavarde1222 8.09333
Vardas1224 Pavarde1224 6.54667
Vardas1225 Pavarde1225 7.06667
Vardas1226 Pavarde1226 7.45333
Vardas1228 Pavarde1228 6.04
Vardas1229 Pavarde1229 5.84
Vardas1231 Pavarde1231 6.58667
Vardas1233 Pavarde1233 5.81333
Vardas1234 Pavarde1234 7.48
Vardas1236 Pavarde1236 5.26667
Vardas1237 Pavarde1237 5.74667
Vardas1238 Pavarde1238 5.2
Vardas1239 Pavarde1239 7.94667
Vardas124 Pavarde124 6.01333
Vardas1241 Pavarde1241 8.72
Vardas1244 Pavarde1244 7.38667
Vardas1246 Pavarde1246 6.6
Vardas1248 Pavarde1248 6.45333
Vardas1256 Pavarde1256 7.22667
Vardas1258 Pavarde1258 5.22667
Vardas1259 Pavarde1259 6.38667
Vardas1260 Pavarde1260 5.37333
Vardas1264 Pavarde1264 6.05333
Vardas1265 Pavarde1265 5.97333
Vardas1269 Pavarde1269 5.73333
Vardas127 Pavarde127 6.64
Vardas1273 Pavarde1273 7.01333
Vardas1274 Pavarde1274 8.77333
Vardas1275 Pavarde1275 6.25333
Vardas1277 Pavarde1277 7.21333
Vardas1278 Pavarde1278 6.50667
Vardas1279 Pavarde1279 5.76
Vardas128 Pavarde128 7.37333
Vardas1282 Pavarde1282 7.42667
Vardas1283 Pavarde1283 5.97333
Vardas1284 Pavarde1284 6.96
Vardas1285 Pavarde1285 7.25333
Vardas1286 Pavarde1286 7.48
Vardas1291 Pavarde1291 5.26667
Vardas1292 Pavarde1292 6
Vardas1294 Pavarde1294 7.6
Vardas13 Pavarde13 6.04
Vardas130 Pavarde130 6.72
Vardas1302 Pavarde1302 6.8
Vardas1303 Pavarde1303 5.68
Vardas1305 Pavarde1305 5.37333
Vardas1306 Pavarde1306 7.29333
Vardas1309 Pavarde1309 6.69333
Vardas1310 Pavarde1310 6.76
Vardas1314 Pavarde1314 7.92
Vardas1315 Pavarde1315 8.64
Vardas1317 Pavarde1317 8.10667
Vardas1318 Pavarde1318 8
Vardas1319 Pavarde1319 5.52
Vardas1320 Pavarde1320 8.26667
Vardas1322 Pavarde1322 6.77333
Vardas1323 Pavarde1323 7.88
Vardas1324 Pavarde1324 7.04
Vardas1325 Pavarde1325 7.58667
Vardas1328 Pavarde1328 5.38667
Vardas1329 Pavarde1329 8.42667
Vardas133 Pavarde133 6.69333
Vardas1331 Pavarde1331 6.28
Vardas1333 Pavarde1333 6.34667
Vardas1335 Pavarde1335 7.13333
Vardas1336 Pavarde1336 5.73333
Vardas1337 Pavarde1337 5.73333
Vardas1338 Pavarde1338 6.93333
Vardas1341 Pavarde1341 5.57333
Vardas1342 Pavarde1342 5.08
Vardas1343 Pavarde1343 7.48
Vardas1344 Pavarde1344 6.44
Vardas1345 Pavarde1345 6.18667
Vardas1347 Pavarde1347 5.42667
Vardas1349 Pavarde1349 7.74667
Vardas135 Pavarde135 7.90667
Vardas1351 Pavarde1351 6.36
Vardas1352 Pavarde1352 5.37333
Vardas1354 Pavarde1354 6.65333
Vardas1357 Pavarde1357 7.26667
Vardas1358 Pavarde1358 5.70667
Vardas136 Pavarde136 7.04
Vardas1361 Pavarde1361 8.06667
Vardas1362 Pavarde1362 6.17333
Vardas1365 Pavarde1365 6.52
Vardas1369 Pavarde1369 5.78667
Vardas137 Pavarde137 6.57333
Vardas1370 Pavarde1370 6.06667
Vardas1371 Pavarde1371 7.06667
Vardas1372 Pavarde1372 5.02667
Vardas1373 Pavarde1373 7.37333
Vardas1374 Pavarde1374 7.32
Vardas1375 Pavarde1375 7.88
Vardas1379 Pavarde1379 5.52
Vardas1383 Pavarde1383 5.38667
Vardas1385 Pavarde1385 7.58667
Vardas1386 Pavarde1386 7.89333
Vardas1387 Pavarde1387 7.48
Vardas1390 Pavarde1390 5.70667
Vardas1391 Pavarde1391 7.8
Vardas1403 Pavarde1403 8.48
Vardas1404 Pavarde1404 5.61333
Vardas1405 Pavarde1405 6.61333
Vardas1406 Pavarde1406 8.04
Vardas1408 Pavarde1408 5.05333
Vardas1409 Pavarde1409 5.16
Vardas1410 Pavarde1410 6.49333
Vardas1411 Pavarde1411 5.42667
Vardas1412 Pavarde1412 5.78667
Vardas1413 Pavarde1413 8.77333
Vardas1414 Pavarde1414 6.70667
Vardas1415 Pavarde1415 5.02667
Vardas1416 Pavarde1416 7.09333
Vardas1417 Pavarde1417 6.69333
Vardas1420 Pavarde1420 6.17333
Vardas1421 Pavarde1421 6.06667
Vardas1422 Pavarde1422 6.69333
Vardas1423 Pavarde1423 5.32
Vardas1426 Pavarde1426 7.17333
Vardas1427 Pavarde1427 5.97333
Vardas1428 Pavarde1428 8.21333
Vardas1429 Pavarde1429 5.92
Vardas143 Pavarde143 7.53333
Vardas1430 Pavarde1430 5.14667
Vardas1431 Pavarde1431 7.56
Vardas1432 Pavarde1432 7.29333
Vardas1433 Pavarde1433 6.36
Vardas1434 Pavarde1434 8.53333
Vardas1436 Pavarde1436 6.30667
Vardas1437 Pavarde1437 7.56
Vardas1440 Pavarde1440 5.58667
Vardas1441 Pavarde1441 7.98667
Vardas1443 Pavarde1443 7.17333
Vardas1445 Pavarde1445 6.30667
Vardas1446 Pavarde1446 7.01333
Vardas1448 Pavarde1448 7.73333
Vardas145 Pavarde145 5.50667
Vardas1450 Pavarde1450 5.92
Vardas1451 Pavarde1451 6.22667
Vardas1452 Pavarde1452 6.34667
Vardas1454 Pavarde1454 7.53333
Vardas1457 Pavarde1457 7.61333
Vardas1458 Pavarde1458 6.41333
Vardas146 Pavarde146 5.49333
Vardas1460 Pavarde1460 6.88
Vardas1461 Pavarde1461 5.48
Vardas1462 Pavarde1462 6.33333
Vardas1463 Pavarde1463 7.22667
Vardas1464 Pavarde1464 7.61333
Vardas1466 Pavarde1466 7.01333
Vardas1468 Pavarde1468 6.36
Vardas1471 Pavarde1471 7.01333
Vardas1473 Pavarde1473 5.50667
Vardas1476 Pavarde1476 7.12
Vardas1479 Pavarde1479 7.93333
Vardas148 Pavarde148 5.78667
Vardas1480 Pavarde1480 7.66667
Vardas1483 Pavarde1483 6.21333
Vardas1484 Pavarde1484 6.52
Vardas1490 Pavarde1490 6.36
Vardas1491 Pavarde1491 8.48
Vardas1493 Pavarde1493 6.2
Vardas1494 Pavarde1494 7.10667
Vardas1495 Pavarde1495 7.37333
Vardas1496 Pavarde1496 7.94667
Vardas1497 Pavarde1497 7.01333
Vardas1498 Pavarde1498 7.12
Vardas1499 Pavarde1499 6.41333
Vardas15 Pavarde15 6.74667
Vardas1500 Pavarde1500 7.06667
Vardas1502 Pavarde1502 6.29333
Vardas1503 Pavarde1503 7.74667
Vardas1504 Pavarde1504 5.10667
Vardas1505 Pavarde1505 6.29333
Vardas1508 Pavarde1508 6.52
Vardas1509 Pavarde1509 7.56
Vardas1511 Pavarde1511 8.08
Vardas1512 Pavarde1512 7.53333
Vardas1513 Pavarde1513 5.45333
Vardas1521 Pavarde1521 6.21333
Vardas1522 Pavarde1522 7.61333
Vardas1523 Pavarde1523 5.65333
Vardas1525 Pavarde1525 7.58667
Vardas1527 Pavarde1527 7.98667
Vardas1528 Pavarde1528 5.34667
Vardas1529 Pavarde1529 6.77333
Vardas153 Pavarde153 6.62667
Vardas1530 Pavarde1530 8
Vardas1531 Pavarde1531 6.96
Vardas1533 Pavarde1533 7.96
Vardas1535 Pavarde1535 7.56
Vardas1537 Pavarde1537 5.54667
Vardas1538 Pavarde1538 7.78667
Vardas1541 Pavarde1541 7.82667
Vardas1544 Pavarde1544 5.49333
Vardas1545 Pavarde1545 6.10667
Vardas1546 Pavarde1546 5.81333
Vardas1547 Pavarde1547 7.49333
Vardas1551 Pavarde1551 5.53333
Vardas1552 Pavarde1552 5.36
Vardas1554 Pavarde1554 7.64
Vardas1555 Pavarde1555 6.24
Vardas1556 Pavarde1556 6.62667
Vardas1557 Pavarde1557 8.61333
Vardas156 Pavarde156 5.01333
Vardas1560 Pavarde1560 7.09333
Vardas1562 Pavarde1562 6.13333
Vardas1563 Pavarde1563 6.93333
Vardas1564 Pavarde1564 8.69333
Vardas1566 Pavarde1566 5.37333
Vardas1567 Pavarde1567 6.02667
Vardas1568 Pavarde1568 7.98667
Vardas157 Pavarde157 7.05333
Vardas1570 Pavarde1570 5.76
Vardas1575 Pavarde1575 7.64
Vardas1577 Pavarde1577 8.21333
Vardas1579 Pavarde1579 7.76
Vardas158 Pavarde158 8.13333
Vardas1582 Pavarde1582 5.18667
Vardas1583 Pavarde1583 6.16
Vardas1585 Pavarde1585 7.12
Vardas1586 Pavarde1586 6.26667
Vardas1587 Pavarde1587 7.89333
Vardas159 Pavarde159 6.38667
Vardas1590 Pavarde1590 8
Vardas1591 Pavarde1591 7.61333
Vardas1593 Pavarde1593 7.2
Vardas1596 Pavarde1596 7.90667
Vardas16 Pavarde16 6.41333
Vardas1600 Pavarde1600 5.38667
Vardas1601 Pavarde1601 6.84
Vardas1602 Pavarde1602 8.08
Vardas1603 Pavarde1603 7.32
Vardas1610 Pavarde1610 7.04
Vardas1612 Pavarde1612 5.05333
Vardas1613 Pavarde1613 6.06667
Vardas1615 Pavarde1615 8.13333
Vardas1616 Pavarde1616 7.64
Vardas1617 Pavarde1617 5.37333
Vardas1618 Pavarde1618 6.76
Vardas1619 Pavarde1619 7.33333
Vardas162 Pavarde162 5.04
Vardas1620 Pavarde1620 7.18667
Vardas1622 Pavarde1622 7.04
Vardas1623 Pavarde1623 6.4
Vardas1625 Pavarde1625 6.57333
Vardas1626 Pavarde1626 5.68
Vardas1627 Pavarde1627 8.08
Vardas1629 Pavarde1629 7.93333
Vardas163 Pavarde163 7.98667
Vardas1631 Pavarde1631 6.04
Vardas1632 Pavarde1632 7.97333
Vardas1633 Pavarde1633 8.10667
Vardas1634 Pavarde1634 6.30667
Vardas1636 Pavarde1636 6.22667
Vardas1638 Pavarde1638 5.98667
Vardas1639 Pavarde1639 5.42667
Vardas164 Pavarde164 7.76
Vardas1640 Pavarde1640 5.13333
Vardas1642 Pavarde1642 8.18667
Vardas1643 Pavarde1643 7.82667
Vardas1644 Pavarde1644 7.22667
Vardas1645 Pavarde1645 5.49333
Vardas1646 Pavarde1646 5.66667
Vardas1647 Pavarde1647 8.37333
Vardas1648 Pavarde1648 5.84
Vardas1649 Pavarde1649 5.42667
Vardas1650 Pavarde1650 5.41333
Vardas1652 Pavarde1652 6.52
Vardas1654 Pavarde1654 5.02667
Vardas1655 Pavarde1655 5.42667
Vardas1658 Pavarde1658 6.02667
Vardas1659 Pavarde1659 7.36
Vardas166 Pavarde166 5.61333
Vardas1660 Pavarde1660 5.98667
Vardas1662 Pavarde1662 5.54667
Vardas1663 Pavarde1663 6.58667
Vardas1664 Pavarde1664 7.85333
Vardas1665 Pavarde1665 6.29333
Vardas167 Pavarde167 5.56
Vardas1670 Pavarde1670 6.30667
Vardas1671 Pavarde1671 7.82667
Vardas1672 Pavarde1672 5.24
Vardas1673 Pavarde1673 6.10667
Vardas1674 Pavarde1674 5.92
Vardas1676 Pavarde1676 8.66667
Vardas1679 Pavarde1679 6.28
Vardas1683 Pavarde1683 6.10667
Vardas1684 Pavarde1684 5
Vardas1685 Pavarde1685 8.10667
Vardas1686 Pavarde1686 7.22667
Vardas169 Pavarde169 8.42667
Vardas1692 Pavarde1692 5.50667
Vardas1694 Pavarde1694 7.84
Vardas1696 Pavarde1696 6.30667
Vardas1697 Pavarde1697 7.56
Vardas1698 Pavarde1698 5.98667
Vardas1699 Pavarde1699 5.54667
Vardas17 Pavarde17 5.90667
Vardas170 Pavarde170 6.72
Vardas1700 Pavarde1700 5.92
Vardas1702 Pavarde1702 7.48
Vardas1703 Pavarde1703 8.85333
Vardas1705 Pavarde1705 7.72
Vardas1706 Pavarde1706 5.44
Vardas1707 Pavarde1707 8.32
Vardas1709 Pavarde1709 6.77333
Vardas1712 Pavarde1712 6.44
Vardas1713 Pavarde1713 7.41333
Vardas1715 Pavarde1715 8.10667
Vardas1717 Pavarde1717 7.66667
Vardas1719 Pavarde1719 8.26667
Vardas1721 Pavarde1721 5.4
Vardas1723 Pavarde1723 5.18667
Vardas1724 Pavarde1724 7.48
Vardas1727 Pavarde1727 7.02667
Vardas1729 Pavarde1729 5.94667
Vardas173 Pavarde173 6.97333
Vardas1730 Pavarde1730 6.68
Vardas1732 Pavarde1732 5.96
Vardas1734 Pavarde1734 6.21333
Vardas1736 Pavarde1736 8.37333
Vardas1738 Pavarde1738 5.18667
Vardas1739 Pavarde1739 6.33333
Vardas174 Pavarde174 5.05333
Vardas1740 Pavarde1740 5.84
Vardas1742 Pavarde1742 5.49333
Vardas1744 Pavarde1744 5.44
Vardas1745 Pavarde1745 7.21333
Vardas1746 Pavarde1746 7.01333
Vardas1748 Pavarde1748 5.34667
Vardas1749 Pavarde1749 6.46667
Vardas175 Pavarde175 6.49333
Vardas1751 Pavarde1751 7.04
Vardas1752 Pavarde1752 8.45333
Vardas1753 Pavarde1753 5.65333
Vardas1754 Pavarde1754 5.48
Vardas1757 Pavarde1757 6.98667
Vardas1758 Pavarde1758 6
Vardas176 Pavarde176 5.68
Vardas1760 Pavarde1760 6.24
Vardas1763 Pavarde1763 7.77333
Vardas1764 Pavarde1764 5.82667
Vardas1765 Pavarde1765 6.62667
Vardas1767 Pavarde1767 6.46667
Vardas1768 Pavarde1768 7.56
Vardas1769 Pavarde1769 5.16
Vardas177 Pavarde177 7.24
Vardas1771 Pavarde1771 7.34667
Vardas1772 Pavarde1772 5.49333
Vardas1773 Pavarde1773 7.98667
Vardas1774 Pavarde1774 5.57333
Vardas1776 Pavarde1776 7.48
Vardas1779 Pavarde1779 5.29333
Vardas178 Pavarde178 7.54667
Vardas1785 Pavarde1785 5.25333
Vardas1787 Pavarde1787 6.73333
Vardas179 Pavarde179 7.77333
Vardas1790 Pavarde1790 7.32
Vardas1791 Pavarde1791 5.54667
Vardas1793 Pavarde1793 6.13333
Vardas1794 Pavarde1794 7.88
Vardas1797 Pavarde1797 6.81333
Vardas1798 Pavarde1798 5.48
Vardas1799 Pavarde1799 6.26667
Vardas18 Pavarde18 8.4
Vardas1800 Pavarde1800 6.25333
Vardas1801 Pavarde1801 7.53333
Vardas1803 Pavarde1803 7.85333
Vardas1804 Pavarde1804 6.68
Vardas1805 Pavarde1805 6.02667
Vardas1806 Pavarde1806 6.09333
Vardas1807 Pavarde1807 7.28
Vardas1808 Pavarde1808 6.08
Vardas1809 Pavarde1809 5.57333
Vardas181 Pavarde181 6.25333
Vardas1811 Pavarde1811 7.4
Vardas1812 Pavarde1812 5.85333
Vardas1813 Pavarde1813 5.81333
Vardas1815 Pavarde1815 7.08
Vardas1816 Pavarde1816 5.89333
Vardas1817 Pavarde1817 6.10667
Vardas1820 Pavarde1820 7.50667
Vardas1821 Pavarde1821 6.56
Vardas1822 Pavarde1822 7.64
Vardas1826 Pavarde1826 8.18667
Vardas1827 Pavarde1827 7.25333
Vardas1828 Pavarde1828 8.48
Vardas1832 Pavarde1832 8.18667
Vardas1834 Pavarde1834 6.98667
Vardas1835 Pavarde1835 7.36
Vardas1840 Pavarde1840 8.37333
Vardas1841 Pavarde1841 6.22667
Vardas1845 Pavarde1845 7.42667
Vardas1848 Pavarde1848 8.34667
Vardas185 Pavarde185 7.2
Vardas1851 Pavarde1851 5.76
Vardas1852 Pavarde1852 6.82667
Vardas1854 Pavarde1854 5.42667
Vardas1855 Pavarde1855 6.14667
Vardas1856 Pavarde1856 5.62667
Vardas1858 Pavarde1858 6.62667
Vardas186 Pavarde186 7.22667
Vardas1860 Pavarde1860 6.06667
Vardas1866 Pavarde1866 5.94667
Vardas1868 Pavarde1868 7.89333
Vardas1869 Pavarde1869 7.98667
Vardas187 Pavarde187 5.42667
Vardas1871 Pavarde1871 8.44
Vardas1872 Pavarde1872 5.90667
Vardas1873 Pavarde1873 5.88
Vardas1874 Pavarde1874 7.42667
Vardas1876 Pavarde1876 6.46667
Vardas1878 Pavarde1878 7.88
Vardas188 Pavarde188 7.81333
Vardas1880 Pavarde1880 6.90667
Vardas1881 Pavarde1881 5.04
Vardas1883 Pavarde1883 7.53333
Vardas1887 Pavarde1887 5.54667
Vardas1888 Pavarde1888 6.90667
Vardas1889 Pavarde1889 8.18667
Vardas1891 Pavarde1891 6.77333
Vardas1893 Pavarde1893 8.29333
Vardas1894 Pavarde1894 6.96
Vardas1895 Pavarde1895 8.29333
Vardas1897 Pavarde1897 6.22667
Vardas1898 Pavarde1898 5.29333
Vardas1899 Pavarde1899 5.29333
Vardas19 Pavarde19 8.42667
Vardas1901 Pavarde1901 5.65333
Vardas1902 Pavarde1902 7.48
Vardas1903 Pavarde1903 5.53333
Vardas1904 Pavarde1904 8.29333
Vardas1906 Pavarde1906 5.81333
Vardas1909 Pavarde1909 5.24
Vardas1910 Pavarde1910 7.25333
Vardas1911 Pavarde1911 5.54667
Vardas1912 Pavarde1912 6.21333
Vardas1914 Pavarde1914 6.93333
Vardas1915 Pavarde1915 5.13333
Vardas1917 Pavarde1917 7.6
Vardas1918 Pavarde1918 7.46667
Vardas1919 Pavarde1919 6.41333
Vardas192 Pavarde192 5
Vardas1922 Pavarde1922 6.98667
Vardas1923 Pavarde1923 6.22667
Vardas1928 Pavarde1928 7.97333
Vardas193 Pavarde193 5.97333
Vardas1930 Pavarde1930 6.52
Vardas1933 Pavarde1933 7.37333
Vardas1935 Pavarde1935 5.73333
Vardas1936 Pavarde1936 7.2
Vardas1937 Pavarde1937 7.08
Vardas1939 Pavarde1939 8.10667
Vardas194 Pavarde194 6.68
Vardas1940 Pavarde1940 5.30667
Vardas1941 Pavarde1941 7.06667
Vardas1942 Pavarde1942 7.04
Vardas1945 Pavarde1945 8.24
Vardas1946 Pavarde1946 7.64
Vardas1948 Pavarde1948 6.82667
Vardas1949 Pavarde1949 7.45333
Vardas195 Pavarde195 8.05333
Vardas1951 Pavarde1951 5.76
Vardas1952 Pavarde1952 5.74667
Vardas1955 Pavarde1955 6.93333
Vardas1957 Pavarde1957 6.12
Vardas1958 Pavarde1958 6
Vardas1960 Pavarde1960 6.62667
Vardas1961 Pavarde1961 5.56
Vardas1962 Pavarde1962 5.41333
Vardas1964 Pavarde1964 7.06667
Vardas1966 Pavarde1966 7.72
Vardas1969 Pavarde1969 5.05333
Vardas1972 Pavarde1972 5.49333
Vardas1973 Pavarde1973 7.14667
Vardas1974 Pavarde1974 7.28
Vardas1975 Pavarde1975 6.45333
Vardas1976 Pavarde1976 7.13333
Vardas1977 Pavarde1977 5.29333
Vardas1978 Pavarde1978 6.57333
Vardas1979 Pavarde1979 6.52
Vardas1980 Pavarde1980 7.29333
Vardas1986 Pavarde1986 7.73333
Vardas1987 Pavarde1987 5.65333
Vardas199 Pavarde199 5.24
Vardas1995 Pavarde1995 6.38667
Vardas1996 Pavarde1996 6.21333
Vardas1997 Pavarde1997 5.61333
Vardas1998 Pavarde1998 8.10667
Vardas2 Pavarde2 6.14667
Vardas20 Pavarde20 7.86667
Vardas200 Pavarde200 6.93333
Vardas2000 Pavarde2000 6.93333
Vardas2001 Pavarde2001 6.25333
Vardas2002 Pavarde2002 5.48
Vardas2003 Pavarde2003 6.93333
Vardas2004 Pavarde2004 6.58667
Vardas2005 Pavarde2005 5.97333
Vardas2008 Pavarde2008 5.52
Vardas2009 Pavarde2009 7.38667
Vardas2015 Pavarde2015 5.01333
Vardas2016 Pavarde2016 7.12
Vardas2018 Pavarde2018 8.77333
Vardas202 Pavarde202 6.52
Vardas2021 Pavarde2021 7.96
Vardas2022 Pavarde2022 7.09333
Vardas2024 Pavarde2024 5
Vardas2025 Pavarde2025 6.18667
Vardas2027 Pavarde2027 7.32
Vardas2028 Pavarde2028 8.26667
Vardas2029 Pavarde2029 6.13333
Vardas2031 Pavarde2031 7.61333
Vardas2033 Pavarde2033 6.22667
Vardas2039 Pavarde2039 5.24
Vardas204 Pavarde204 5.21333
Vardas2042 Pavarde2042 6.81333
Vardas2044 Pavarde2044 6.06667
Vardas2045 Pavarde2045 6.70667
Vardas2046 Pavarde2046 8.10667
Vardas2047 Pavarde2047 6.2
Vardas2048 Pavarde2048 6.46667
Vardas2049 Pavarde2049 5.52
Vardas2050 Pavarde2050 6.77333
Vardas2056 Pavarde2056 5.4
Vardas2057 Pavarde2057 5.70667
Vardas2062 Pavarde2062 5.8
Vardas2063 Pavarde2063 5.61333
Vardas2064 Pavarde2064 5.05333
Vardas2067 Pavarde2067 6.70667
Vardas2068 Pavarde2068 5.81333
Vardas2069 Pavarde2069 8.21333
Vardas2071 Pavarde2071 7.42667
Vardas2072 Pavarde2072 6.28
Vardas2073 Pavarde2073 5.21333
Vardas2074 Pavarde2074 6.05333
Vardas2076 Pavarde2076 7.84
Vardas2077 Pavarde2077 7.74667
Vardas2078 Pavarde2078 7.06667
Vardas2079 Pavarde2079 8.32
Vardas2081 Pavarde2081 7.93333
Vardas2083 Pavarde2083 6.89333
Vardas2085 Pavarde2085 5
Vardas2088 Pavarde2088 7.06667
Vardas2089 Pavarde2089 7.01333
Vardas209 Pavarde209 7.13333
Vardas2090 Pavarde2090 7.93333
Vardas2091 Pavarde2091 6.76
Vardas2094 Pavarde2094 7.48
Vardas2095 Pavarde2095 7.66667
Vardas21 Pavarde21 7.36
Vardas210 Pavarde210 5.08
Vardas2101 Pavarde2101 7.97333
Vardas2102 Pavarde2102 5.52
Vardas2103 Pavarde2103 8.34667
Vardas2104 Pavarde2104 8.10667
Vardas2105 Pavarde2105 8.72
Vardas2108 Pavarde2108 8.21333
Vardas2109 Pavarde2109 7.53333
Vardas2110 Pavarde2110 8.28
Vardas2111 Pavarde2111 7.29333
Vardas2112 Pavarde2112 6.05333
Vardas2113 Pavarde2113 6.57333
Vardas2117 Pavarde2117 8.48
Vardas2118 Pavarde2118 5.68
Vardas2119 Pavarde2119 7.96
Vardas2120 Pavarde2120 7.30667
Vardas2121 Pavarde2121 5.24
Vardas2123 Pavarde2123 5.61333
Vardas2124 Pavarde2124 8.48
Vardas2125 Pavarde2125 6.85333
Vardas2127 Pavarde2127 7.86667
Vardas2128 Pavarde2128 6.86667
Vardas2129 Pavarde2129 6.44
Vardas213 Pavarde213 6.36
Vardas2131 Pavarde2131 8.01333
Vardas2133 Pavarde2133 7.41333
Vardas2134 Pavarde2134 5.06667
